년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
2020-08-19,818.74,18.52,2.31,810.86,818.74,805.52,"1,601,781","14,760,513,194,950","311,308,564,860,357"
2020-08-18,800.22,-34.81,-4.17,834.55,834.55,794.91,"1,897,401","15,861,822,146,640","303,852,984,979,660"
2020-08-14,835.03,-19.74,-2.31,854.71,854.71,831.15,"1,732,238","13,842,550,789,521","316,140,847,903,004"
2020-08-13,854.77,9.17,1.08,854.82,862.98,852.15,"1,811,111","14,868,747,939,517","323,218,790,975,472"
2020-08-12,845.6,-14.63,-1.7,858.88,858.88,836.58,"1,674,531","14,357,658,336,914","316,875,295,766,191"
2020-08-11,860.23,-2.53,-0.29,863.07,863.72,858,"1,532,477","13,343,016,331,686","322,120,086,005,506"
2020-08-10,862.76,5.13,0.6,859.53,863.8,854.48,"1,464,015","12,625,988,092,545","322,848,851,704,705"
2020-08-07,857.63,3.51,0.41,858.3,859.43,849.01,"1,397,200","14,574,967,437,092","320,507,965,456,862"
2020-08-06,854.12,6.84,0.81,854.02,855.73,847.9,"1,498,960","14,220,423,784,626","318,891,872,037,496"
2020-08-05,847.28,11.93,1.43,837.19,847.38,837.11,"1,521,802","12,744,683,649,905","316,312,310,546,645"
2020-08-04,835.35,7.78,0.94,833.28,835.35,830.55,"1,509,117","13,940,170,504,044","311,492,401,847,718"
2020-08-03,827.57,12.27,1.5,820.41,827.79,815.15,"1,522,754","14,512,981,443,529","308,607,793,868,019"
2020-07-31,815.3,1.11,0.14,817.52,818.7,814.23,"1,357,355","13,058,945,226,631","303,951,763,086,638"
2020-07-30,814.19,5.6,0.69,812.83,814.41,808.02,"1,301,898","13,271,127,401,229","301,637,228,211,747"
2020-07-29,808.59,0.74,0.09,807.71,809.77,804.29,"1,181,622","10,594,912,989,302","299,433,926,691,035"
2020-07-28,807.85,6.62,0.83,807.29,810.97,802.04,"1,547,330","11,968,083,145,955","298,918,047,452,087"
