집계날짜,집계요일,구독자수,구독자수증감,영상조회수,조회수증감
2020-06-26,금,"38,000,000","700,000","9,539,337,597","35,455,794"
2020-06-27,토,"38,900,000","900,000","9,654,560,865","115,223,268"
2020-06-28,일,"39,300,000","400,000","9,712,145,758","57,584,893"
2020-06-29,월,"39,500,000","200,000","9,755,546,674","43,400,916"
2020-06-30,화,"39,700,000","200,000","9,790,241,308","34,694,634"
2020-07-01,수,"39,900,000","200,000","9,819,743,241","29,501,933"
2020-07-02,목,"40,000,000","100,000","9,846,845,869","27,102,628"
2020-07-03,금,"40,200,000","200,000","9,874,000,495","27,154,626"
2020-07-04,토,"40,300,000","100,000","9,903,907,168","29,906,673"
2020-07-05,일,"40,500,000","200,000","9,928,660,732","24,753,564"
2020-07-06,월,"40,600,000","100,000","9,966,596,437","37,935,705"
2020-07-07,화,"40,800,000","200,000","10,002,899,682","36,303,245"
2020-07-08,수,"41,000,000","200,000","10,032,713,455","29,813,773"
2020-07-09,목,"41,100,000","100,000","10,057,755,045","25,041,590"
2020-07-10,금,"41,200,000","100,000","10,083,577,151","25,822,106"
2020-07-11,토,"41,300,000","100,000","10,112,929,925","29,352,774"
2020-07-12,일,"41,400,000","100,000","10,140,564,249","27,634,324"
2020-07-13,월,"41,500,000","100,000","10,166,783,318","26,219,069"
2020-07-14,화,"41,600,000","100,000","10,190,490,938","23,707,620"
2020-07-15,수,"41,700,000","100,000","10,213,515,998","23,025,060"
2020-07-16,목,"41,700,000",0,"10,236,096,866","22,580,868"
2020-07-17,금,"41,800,000","100,000","10,257,660,015","21,563,149"
2020-07-18,토,"41,900,000","100,000","10,285,203,167","27,543,152"
2020-07-19,일,"42,000,000","100,000","10,309,088,795","23,885,628"
2020-07-20,월,"42,100,000","100,000","10,330,684,405","21,595,610"
2020-07-21,화,"42,100,000",0,"10,351,013,387","20,328,982"
2020-07-22,수,"42,200,000","100,000","10,372,495,016","21,481,629"
2020-07-23,목,"42,300,000","100,000","10,392,885,354","20,390,338"
2020-07-24,금,"42,400,000","100,000","10,414,040,116","21,154,762"
2020-07-25,토,"42,500,000","100,000","10,436,897,704","22,857,588"
2020-07-26,일,"42,500,000",0,"10,457,767,101","20,869,397"
2020-07-27,월,"42,600,000","100,000","10,478,026,800","20,259,699"
2020-07-28,화,"42,700,000","100,000","10,497,963,444","19,936,644"
2020-07-29,수,"42,800,000","100,000","10,519,450,414","21,486,970"
2020-07-30,목,"42,800,000",0,"10,538,178,726","18,728,312"
2020-07-31,금,"42,900,000","100,000","10,557,996,998","19,818,272"
2020-08-01,토,"43,000,000","100,000","10,579,635,585","21,638,587"
2020-08-02,일,"43,000,000",0,"10,599,833,169","20,197,584"
2020-08-03,월,"43,100,000","100,000","10,620,163,889","20,330,720"
2020-08-04,화,"43,200,000","100,000","10,639,552,255","19,388,366"
2020-08-05,수,"43,200,000",0,"10,658,818,674","19,266,419"
2020-08-06,목,"43,300,000","100,000","10,677,274,308","18,455,634"
2020-08-07,금,"43,400,000","100,000","10,696,280,985","19,006,677"
2020-08-08,토,"43,400,000",0,"10,719,947,029","23,666,044"
2020-08-09,일,"43,500,000","100,000","10,746,098,930","26,151,901"
2020-08-10,월,"43,600,000","100,000","10,765,461,921","19,362,991"
2020-08-11,화,"43,700,000","100,000","10,784,768,122","19,306,201"
2020-08-12,수,"43,700,000",0,"10,803,034,229","18,266,107"
2020-08-13,목,"43,800,000","100,000","10,822,412,313","19,378,084"
2020-08-14,금,"43,900,000","100,000","10,841,538,983","19,126,670"
2020-08-15,토,"43,900,000",0,"10,864,381,303","22,842,320"
2020-08-16,일,"44,000,000","100,000","10,884,128,085","19,746,782"
2020-08-17,월,"44,100,000","100,000","10,901,880,052","17,751,967"
2020-08-18,화,"44,100,000",0,"10,919,480,943","17,600,891"
2020-08-19,수,"44,200,000","100,000","10,937,513,586","18,032,643"
2020-08-20,목,"44,300,000","100,000","10,955,214,911","17,701,325"
2020-08-21,금,"44,300,000",0,"10,973,013,091","17,798,180"
2020-08-22,토,"44,400,000","100,000","10,994,786,428","21,773,337"
2020-08-23,일,"44,500,000","100,000","11,014,547,721","19,761,293"
2020-08-24,월,"44,600,000","100,000",11037078744,22531023
